Subconjunto,Numero,Nome,Sexo,Email,PaisNacionalidade,ProgramaTutoria,TempoParcial,SituacaoPrescricao,Habilitacao,Curso,CursoNome,PrimeiraVezCurso,AnoLetivoMatricula,EstadoMatricula,TipoAcesso,Regime,AnoCurricular,ECTS_InscritosAnoAtual,IND2_1,ECTS_InscritoAnoAtualSemestre1,ECTS_FeitosAnoAtual,ECTS_Inscritos1AnoNoAnoAnterior,ECTS_Feitos1AnoNoAnoAnterior,Sucesso1anoNoAnoAnterior,media,IND2_2,Propina_TotalEmDivida,IND2_3,BolsaSAS_DataCandidatura,BolsaSAS_EstadoBolsa,BolsaSAS_DataDespacho,BolsaSAS_ValorBolsa,IND2_4,IngressoRG_nota,IngressoRG_fase,IngressoRG_pref,IND2_5,NumUCinscritas,40436_AvalParcial,40436_TaxaAssid,40909_AvalParcial,40909_TaxaAssid,41201_AvalParcial,41201_TaxaAssid,41703_AvalParcial,41703_TaxaAssid,42729_AvalParcial,42729_TaxaAssid
b1,2556,A2556,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,48,,0,0,13.2,10,0,10,08/09/2017,Deferida,12/01/2018,2240,10,172.6,1,2,30,5,,95,,100,,100,,92.86,,77.78
b1,2563,A2563,M,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,54,,0,0,13,30,141.81,10,29/08/2017,Deferida,10/11/2017,1064,10,170,1,4,30,5,,94.12,,81.48,,100,,78.57,,81.48
b1,2565,A2565,M,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,60,,0,0,16.2,10,0,10,08/08/2017,Deferida,13/10/2017,3236,10,177.2,1,3,10,5,,100,,96.3,,100,,100,,100
b1,2567,A2567,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,60,,0,0,13.8,10,0,,,,,,10,169.2,1,2,10,5,,100,,96.3,,100,,92.86,,100
b1,2570,A2570,M,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,30,30,18,,0,0,14.5,10,0,,,,,,10,171.8,1,3,30,5,,88.24,,66.67,,100,,57.14,,66.67
b1,2574,A2574,M,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,54,,0,0,12.75,10,0,10,30/10/2017,Deferida,24/11/2017,1064,10,163.4,1,1,10,5,,100,,100,,100,,100,,96.3
b1,2576,A2576,M,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,60,,0,0,16,10,0,,,,,,10,181.6,1,2,10,5,,100,,100,,100,,100,,100
b1,2577,A2577,M,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,60,,0,0,12,10,0,30,04/10/2017,Indeferida,09/11/2017,,10,165.6,1,2,10,5,,90,,85.19,,100,,85.71,,88.89
b1,2581,A2581,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,60,,0,0,13.4,10,0,30,17/09/2017,Indeferida,06/11/2017,,10,163.8,1,2,10,5,,100,,92.59,,100,,92.86,,88.89
b1,2582,A2582,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,60,,0,0,15.2,10,0,30,02/08/2017,Indeferida,05/02/2018,,10,175.6,1,1,10,5,,100,,100,,100,,92.86,,96.3
b1,2587,A2587,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,12.4,10,0,,,,,,10,165.4,1,4,30,5,,35,,0,,100,,28.57,,0
b1,2588,A2588,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Atleta de Alta Competição,Agente Associativo - UA,1,60,10,30,54,,0,0,13.4,10,0,10,17/09/2017,Deferida,20/11/2017,2248,,,,,10,5,,94.74,,96.3,,100,,92.86,,85.19
b1,2740,A2740,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,48,,0,0,13.5,10,0,,,,,,10,164.6,1,1,10,5,,100,,96.3,,100,,100,,92.59
b1,2901,A2901,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,60,,0,0,15,10,0,30,14/09/2017,Indeferida,21/02/2018,,10,168.8,2,1,10,5,,100,,100,,100,,100,,96.3
b1,2909,A2909,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,60,,0,0,12.8,10,0,,,,,,10,169.8,2,1,10,5,,100,,92.59,,100,,92.86,,92.59
b1,3032,A3032,M,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,60,,0,0,16.4,10,0,10,24/09/2017,Deferida,10/11/2017,1064,10,173.8,2,1,10,5,,100,,96.3,,100,,92.86,,96.3
b1,3052,A3052,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,54,,0,0,14.25,10,0,,,,,,10,168.2,2,1,10,5,,100,,92.59,,100,,92.86,,85.19
b1,3065,A3065,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,60,,0,0,12.6,10,0,,,,,,10,168,2,2,30,5,,94.74,,81.48,,100,,78.57,,74.07
b1,3109,A3109,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,60,,0,0,16.2,30,303.87,30,04/10/2017,Indeferida,08/04/2018,,10,179.2,2,1,10,5,,94.74,,100,,100,,100,,88.89
